,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
252,220,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
253,220,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
254,221,1,23,0,0,0,0,0,0,0,0,0,3,0.4,0.8,0.0,0.1,55,1,0
255,221,2,7,0,0,0,0,0,0,0,0,0,3,0.2,0.1,2.0,0.2,55,1,0
256,221,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
257,222,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
258,222,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
259,222,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
260,225,1,74,0,1,1,0,0,0,0,0,0,25,27.8,16.8,33.0,7.8,55,6,1
261,225,2,82,1,0,0,2,0,0,0,0,1,29,44.0,29.1,35.0,10.8,55,8,1
262,225,3,68,0,0,0,1,0,0,0,0,0,5,0.0,0.0,0.0,0.0,55,2,0
263,228,1,90,0,0,1,0,0,0,0,0,0,17,13.8,6.2,9.0,2.9,65,3,0
264,228,2,90,0,0,0,2,0,0,0,0,0,17,20.8,34.7,9.0,6.5,65,2,0
265,228,3,90,1,0,0,2,0,0,1,0,0,27,0.0,0.0,0.0,0.0,64,6,1
266,229,1,66,0,0,1,0,0,0,0,0,0,5,0.0,2.5,24.0,2.7,65,3,0
267,229,2,61,0,0,0,1,0,0,0,0,0,4,6.8,3.3,28.0,3.8,65,2,0
268,229,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,0,0
269,230,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
270,230,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
