,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
63,166,1,90,0,0,1,0,0,0,0,0,0,17,26.2,13.8,67.0,10.7,80,2,0
64,166,2,90,0,3,0,2,0,0,0,0,1,40,39.4,22.9,79.0,14.1,80,12,1
65,166,3,89,1,0,0,1,0,0,1,0,3,32,42.0,3.2,25.0,7.0,80,8,1
66,169,1,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,4.0,0.4,60,1,0
67,169,2,12,0,0,0,0,0,0,0,0,0,-1,0.0,1.3,7.0,0.5,60,1,0
68,169,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,0,0
69,181,1,15,0,0,0,0,0,0,0,0,0,4,0.0,0.4,2.0,0.2,55,1,0
70,181,2,32,1,0,0,0,0,0,0,0,0,28,34.6,0.5,17.0,5.2,55,5,0
71,181,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
72,184,1,27,0,0,0,0,0,0,0,0,0,3,3.0,0.3,7.0,1.0,60,1,0
73,184,2,90,2,0,0,4,0,0,1,0,3,47,75.2,7.5,76.0,15.9,60,12,1
74,184,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
75,224,1,90,2,0,1,0,0,0,0,0,3,52,71.2,10.3,36.0,11.8,100,13,1
76,224,2,90,0,0,0,2,0,0,0,0,0,6,2.6,11.2,22.0,3.6,101,2,0
77,224,3,84,3,0,0,2,0,0,0,0,0,82,0.0,0.0,0.0,0.0,100,14,1
78,233,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
79,233,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,0,0
80,233,3,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,58,1,0
81,202,1,61,1,0,0,3,0,0,0,0,1,28,40.0,0.5,27.0,6.8,55,7,1
82,202,2,69,1,2,0,3,0,0,0,0,2,45,50.4,11.9,21.0,8.3,56,14,1
83,202,3,90,1,0,1,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0,57,6,1
84,492,1,28,0,0,0,1,0,0,0,0,0,0,0.0,0.3,0.0,0.0,60,1,0
85,492,2,45,0,0,0,1,0,0,0,0,0,5,0.0,0.7,4.0,0.5,60,1,0
86,492,3,45,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,1,0
87,249,1,90,0,0,0,3,0,0,1,0,0,10,5.8,7.2,38.0,5.1,95,1,0
88,249,2,85,0,1,1,0,0,0,0,0,0,21,23.4,35.3,48.0,10.7,94,5,0
89,249,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94,0,0
90,256,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
91,256,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
92,256,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,0,0
93,262,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
94,262,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
95,262,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
96,268,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,105,0,0
97,268,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0
